 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account

 Ground state electric dipole moment in X,Y,Z:    0.000000   -0.000000    0.000002 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     5    14     0.1780805    -0.8021815     0.0000000     1.10400     0.01826
     5    15     0.0000000    -0.0000000     0.0000004     1.19210     0.00000
     5    16    -0.0000006     0.0000021    -0.0000000     1.32150     0.00000
     5    17    -0.0000000    -0.0000000     0.0022366     1.37750     0.00000
     5    18    -0.0000000     0.0000000    -0.0476345     1.38000     0.00008
     5    19    -0.0000045     0.0000105     0.0000000     1.38470     0.00000
     5    20    -0.0000010     0.0000068    -0.0000000     1.39180     0.00000
     5    21     0.0000000     0.0000000     0.0000000     1.45480     0.00000
     5    22     0.0000000    -0.0000000    -0.0151053     1.50930     0.00001
     5    23    -0.0000000    -0.0000000     0.0567804     1.66310     0.00013
     5    24    -0.0000062     0.0000185    -0.0000000     1.69230     0.00000
     5    25    -0.0000000     0.0000000    -0.0000009     1.69940     0.00000
     5    26     0.0000000     0.0000000     0.0000000     1.71660     0.00000
     5    27    -0.0000000     0.0000000     0.0340127     1.80740     0.00005
     5    28    -0.1289319    -0.2887057    -0.0000000     1.81950     0.00446
     5    29     0.0000001     0.0000001    -0.0000000     1.85110     0.00000
     5    30     0.0000000    -0.0000000     0.0195038     1.87260     0.00002
     6     6     0.0000000    -0.0000000     0.0000089     0.00000     0.00000
     6     7    -0.0000000     0.0000000    -0.0863084     0.03190     0.00001
     6     8     0.2372882    -0.3726046     0.0000000     0.06310     0.00030
     6     9     0.0000050    -0.0000163     0.0000000     0.13610     0.00000
     6    10     0.0000046    -0.0000121     0.0000000     0.22680     0.00000
     6    11     0.0000086     0.0000014    -0.0000000     0.34890     0.00000
     6    12    -0.1363379     0.6107094     0.0000000     0.37370     0.00358
     6    13    -0.0000000     0.0000000     0.0280695     0.49530     0.00001
     6    14     0.0000000    -0.0000000     0.0000005     0.53980     0.00000
     6    15     0.0534425    -0.0525597     0.0000000     0.62790     0.00009
     6    16     0.0000000    -0.0000000    -0.1024406     0.75730     0.00019
     6    17     0.0000008    -0.0000000     0.0000000     0.81330     0.00000
     6    18     0.0000002    -0.0000003    -0.0000000     0.81580     0.00000
     6    19     0.0000000    -0.0000000    -0.0862132     0.82050     0.00015
     6    20    -0.0000000     0.0000000     0.1331815     0.82760     0.00036
     6    21     0.0000000     0.0000000     0.0000000     0.89060     0.00000
     6    22     0.0000026     0.0000053     0.0000000     0.94510     0.00000
     6    23     0.0000052    -0.0000066    -0.0000000     1.09890     0.00000
     6    24     0.0000000     0.0000000    -0.0012283     1.12810     0.00000
     6    25    -0.3625390     0.7931816    -0.0000000     1.13520     0.02115
     6    26     0.0000000     0.0000000     0.0000000     1.15240     0.00000
     6    27    -0.0000004     0.0000000     0.0000000     1.24320     0.00000
     6    28     0.0000000     0.0000000    -0.0000007     1.25530     0.00000
     6    29     0.0000000     0.0000000    -0.0635367     1.28690     0.00013
     6    30     0.0000015    -0.0000003     0.0000000     1.30840     0.00000
     7     7     0.0000000    -0.0000000    -0.0000051     0.00000     0.00000
     7     8     0.0000070    -0.0000210     0.0000000     0.03120     0.00000
     7     9    -1.1429369     3.5585253     0.0000000     0.10420     0.03566
     7    10    -1.3302178     4.2131328    -0.0000000     0.19490     0.09321
     7    11     0.0000000     0.0000000     0.0000000     0.31700     0.00000
     7    12     0.0000012    -0.0000065     0.0000000     0.34180     0.00000
     7    13     0.0000000     0.0000000     0.0000000     0.46340     0.00000
     7    14     0.0000000     0.0000000     0.0101171     0.50790     0.00000
     7    15     0.0000088     0.0000063     0.0000000     0.59600     0.00000
     7    16     0.0000000     0.0000000     0.0000000     0.72540     0.00000
     7    17     0.0000000     0.0000000     0.0000000     0.78140     0.00000
     7    18    -0.1495012     0.4814196    -0.0000000     0.78390     0.00488
     7    19    -0.0000000     0.0000000    -0.0000003     0.78860     0.00000
     7    20    -0.0000000     0.0000000    -0.0000002     0.79570     0.00000
     7    21     0.0000000    -0.0000000    -0.3316613     0.85870     0.00231
     7    22     0.0000000     0.0000000     0.0000000     0.91320     0.00000
     7    23     0.0000000     0.0000000     0.0000000     1.06700     0.00000
     7    24     0.0000000     0.0000000     0.0000006     1.09620     0.00000
     7    25    -0.0000033     0.0000059     0.0000000     1.10330     0.00000
     7    26    -0.0000000     0.0000000     0.0934277     1.12050     0.00024
     7    27     0.0000000     0.0000000     0.0000000     1.21130     0.00000
     7    28     0.0000000    -0.0000000    -0.0581481     1.22340     0.00010
     7    29     0.0000000     0.0000000     0.0000000     1.25500     0.00000
     7    30     0.0000000     0.0000000     0.0000000     1.27650     0.00000
     8     8     0.0000000    -0.0000000     0.0000089     0.00000     0.00000
     8     9    -0.0000000     0.0000000    -0.0739605     0.07300     0.00001
     8    10     0.0000000    -0.0000000    -0.0363647     0.16370     0.00001
     8    11     0.0000000     0.0000000     0.0056706     0.28580     0.00000
     8    12    -0.0000000     0.0000000    -0.0000002     0.31060     0.00000
     8    13     0.0000008    -0.0000044     0.0000000     0.43220     0.00000
     8    14     0.0404478    -0.0066473     0.0000000     0.47670     0.00002
     8    15     0.0000000    -0.0000000     0.0000000     0.56480     0.00000
     8    16     0.0000038    -0.0000067     0.0000000     0.69420     0.00000
     8    17     0.0000000    -0.0000000    -0.1399854     0.75020     0.00036
     8    18    -0.0000000     0.0000000    -0.0108214     0.75270     0.00000
     8    19    -0.0000009     0.0000001     0.0000000     0.75740     0.00000
     8    20    -0.0000034     0.0000033    -0.0000000     0.76450     0.00000
     8    21     0.0000000     0.0000000     0.0000000     0.82750     0.00000
     8    22    -0.0000000     0.0000000     0.0355333     0.88200     0.00003
     8    23    -0.0000000     0.0000000    -0.2730174     1.03580     0.00189
     8    24    -0.0000032     0.0000058    -0.0000000     1.06500     0.00000
     8    25     0.0000000    -0.0000000    -0.0000003     1.07210     0.00000
     8    26     0.0000000     0.0000000     0.0000000     1.08930     0.00000
     8    27    -0.0000000     0.0000000     0.0037781     1.18010     0.00000
     8    28    -1.0186681     2.4492850    -0.0000000     1.19220     0.20553
     8    29    -0.0000013     0.0000002     0.0000000     1.22380     0.00000
     8    30    -0.0000000    -0.0000000     0.0908228     1.24530     0.00025
     9     9     0.0000000    -0.0000000    -0.0000046     0.00000     0.00000
     9    10    -0.0000000     0.0000000    -0.0000015     0.09070     0.00000
     9    11     0.0000000     0.0000000     0.0000000     0.21280     0.00000
     9    12    -0.0000000    -0.0000000     0.0337698     0.23760     0.00001
     9    13     0.0000000     0.0000000     0.0000000     0.35920     0.00000
     9    14     0.0000051    -0.0000121    -0.0000000     0.40370     0.00000
     9    15    -0.0000000     0.0000000     0.3284588     0.49180     0.00130
     9    16     0.0000000     0.0000000     0.0000000     0.62120     0.00000
     9    17     0.0000000     0.0000000     0.0000000     0.67720     0.00000
